module.exports = {
  Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance
  05/12/2016,DEB,'00-00-00,111222333,ASDA  STORES,3.50,,5968.69
  05/12/2016,TFR,'00-00-00,111222333,ENVIRONMENT,,26.00,5972.19
  02/12/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.05,,5946.19
  02/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,58.94,,5950.24
  02/12/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,.83,,6009.18
  30/11/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,4.70,,6010.01
  30/11/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,51.53,,6014.71
  30/11/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,11.47,,6066.24
  28/11/2016,DEB,'00-00-00,111222333,ASDA  STORES,13.01,,6077.71
  28/11/2016,DEB,'00-00-00,111222333,MCDONALDS,3.49,,6090.72
  25/11/2016,DEB,'00-00-00,111222333,MCDONALDS,5.39,,6094.21
  25/11/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,53.94,,6099.60
  24/11/2016,DEB,'00-00-00,111222333,ASDA  STORES,25.57,,6153.54
  24/11/2016,DEB,'00-00-00,111222333,ASDA  STORES,4.48,,6179.11
  24/11/2016,BGC,'00-00-00,111222333,SOME WORK,,1354.22,6183.59
  23/11/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,9.99,,4829.37
  22/11/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,52.14,,4839.36
  22/11/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,50.23,,4891.50
  21/11/2016,DEB,'00-00-00,111222333,POSTOFFICE SELFSER,13.32,,4941.73
  21/11/2016,DEB,'00-00-00,111222333,MCDONALDS,6.28,,4955.05
  18/11/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,40.00,,4961.33
  17/11/2016,TFR,'00-00-00,111222333,SOME GUY,3200.00,,5001.33
  16/11/2016,DEB,'00-00-00,111222333,ASDA  STORES,28.11,,8201.33
  16/11/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,8229.44
  16/11/2016,TFR,'00-00-00,111222333,SOME GUY,5500.00,,8239.44
  14/11/2016,TFR,'00-00-00,111222333,RENT,340.00,,13739.44
  11/11/2016,DEB,'00-00-00,111222333,WWW.HXPAYMENTS.COM,40.99,,14079.44
  11/11/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,14120.43
  10/11/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,14130.43
  10/11/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,26.93,,14140.43
  10/11/2016,BGC,'00-00-00,111222333,SOME WORK,,920.66,14167.36
  09/11/2016,DEB,'00-00-00,111222333,MCDONALDS,8.78,,13246.70
  07/11/2016,DEB,'00-00-00,111222333,ASDA  STORES,8.22,,13255.48
  03/11/2016,DEB,'00-00-00,111222333,MCDONALDS,10.77,,13263.70
  02/11/2016,DEB,'00-00-00,111222333,ASDA  STORES,45.94,,13274.47
  02/11/2016,DEB,'00-00-00,111222333,ASDA  STORES,4.55,,13320.41
  01/11/2016,DEB,'00-00-00,111222333,DVLA VEHICLE TAX,115.50,,13324.96
  01/11/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,13440.46
  31/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,23.00,,13443.46
  31/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.54,,13466.46
  31/10/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,12.04,,13471.00
  28/10/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,.85,,13483.04
  27/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.80,,13483.89
  27/10/2016,BGC,'00-00-00,111222333,SOME WORK,,813.06,13487.69
  26/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.80,,12674.63
  26/10/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,15.25,,12678.43
  25/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,20.89,,12693.68
  25/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,12714.57
  25/10/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,52.50,,12717.57
  24/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,12.12,,12770.07
  24/10/2016,DEB,'00-00-00,111222333,MCDONALDS,6.38,,12782.19
  24/10/2016,TFR,'00-00-00,111222333,RENT,71.00,,12788.57
  21/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,12859.57
  21/10/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,9.99,,12862.57
  20/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,12872.56
  20/10/2016,DEB,'00-00-00,111222333,BP EMERSON VALLEY,4.75,,12875.56
  19/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,9.93,,12880.31
  17/10/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,30.44,,12890.24
  17/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,12920.68
  14/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.05,,12923.68
  14/10/2016,DEB,'00-00-00,111222333,WIZZ AIR,67.98,,12927.73
  13/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,11.17,,12995.71
  13/10/2016,BGC,'00-00-00,111222333,SOME WORK,,1083.70,13006.88
  12/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,11923.18
  12/10/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,11926.18
  11/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,11946.17
  11/10/2016,TFR,'00-00-00,111222333,RENT,340.00,,11949.17
  10/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,27.70,,12289.17
  10/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,5.17,,12316.87
  10/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,22.21,,12322.04
  10/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.00,,12344.25
  07/10/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,20.00,,12348.25
  07/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,12368.25
  06/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.00,,12371.25
  04/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,21.95,,12374.25
  04/10/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.05,,12396.20
  03/10/2016,DEB,'00-00-00,111222333,ASDA  STORES,17.63,,12400.25
  03/10/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,39.00,,12417.88
  30/09/2016,DEB,'00-00-00,111222333,ELEPHANT INSURANCE,835.51,,12456.88
  30/09/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,3.80,,13292.39
  30/09/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,32.44,,13296.19
  29/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,22.45,,13328.63
  29/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,11.72,,13351.08
  29/09/2016,BGC,'00-00-00,111222333,SOME WORK,,943.98,13362.80
  28/09/2016,DEB,'00-00-00,111222333,PP*BHM,618.20,,12418.82
  28/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,31.81,,13037.02
  27/09/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,13068.83
  26/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,28.57,,13078.83
  26/09/2016,DEB,'00-00-00,111222333,W M MORRISON STORE,15.21,,13107.40
  26/09/2016,DEB,'00-00-00,111222333,NEW MANDARIN RESTA,20.80,,13122.61
  26/09/2016,DEB,'00-00-00,111222333,TESCO STORE 2885,12.00,,13143.41
  26/09/2016,TFR,'00-00-00,111222333,HUE HUE,,20.00,13155.41
  23/09/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,7.50,,13135.41
  23/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,.80,,13142.91
  22/09/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,5.60,,13143.71
  21/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,34.86,,13149.31
  21/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,9.99,,13184.17
  20/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,4.25,,13194.16
  19/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,17.09,,13198.41
  16/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,27.53,,13215.50
  16/09/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,5.24,,13243.03
  15/09/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,40.00,,13248.27
  15/09/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,34.99,,13288.27
  15/09/2016,BGC,'00-00-00,111222333,SOME WORK,,716.32,13323.26
  14/09/2016,DEB,'00-00-00,111222333,CO-OP GROUP FOOD,11.88,,12606.94
  14/09/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.95,,12618.82
  14/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,10.00,,12623.77
  14/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,8.79,,12633.77
  13/09/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.32,,12642.56
  12/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,44.93,,12646.88
  12/09/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,30.30,,12691.81
  12/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,49.09,,12722.11
  12/09/2016,DEB,'00-00-00,111222333,DOMINOS PIZZA,28.98,,12771.20
  12/09/2016,DEB,'00-00-00,111222333,PRIMARK 675,7.00,,12800.18
  12/09/2016,DEB,'00-00-00,111222333,LIDL UK,1.98,,12807.18
  12/09/2016,DEB,'00-00-00,111222333,BP MALTHURST CHILD,56.58,,12809.16
  12/09/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,12865.74
  08/09/2016,TFR,'00-00-00,111222333,RENT,340.00,,12885.73
  08/09/2016,DEB,'00-00-00,111222333,WWW.DISCOVERWOBURN,43.98,,13225.73
  08/09/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,32.79,,13269.71
  06/09/2016,DEB,'00-00-00,111222333,Amazon Prime,79.00,,13302.50
  06/09/2016,DEB,'00-00-00,111222333,Amazon Prime,,79.00,13381.50
  05/09/2016,DEB,'00-00-00,111222333,ASDA  STORES,38.72,,13302.50
  05/09/2016,DEB,'00-00-00,111222333,ANNANDALE WATER CO,58.16,,13341.22
  05/09/2016,DEB,'00-00-00,111222333,M6 TOLL,4.80,,13399.38
  05/09/2016,DEB,'00-00-00,111222333,TALISKER DISTILLER,65.00,,13404.18
  05/09/2016,DEB,'00-00-00,111222333,THE FIRM OF EDINBA,59.90,,13469.18
  05/09/2016,DEB,'00-00-00,111222333,PORTREE FILLING ST,43.29,,13529.08
  02/09/2016,DEB,'00-00-00,111222333,GLENVIEW HOTEL,26.85,,13572.37
  02/09/2016,DEB,'00-00-00,111222333,CO-OP GROUP 020017,13.33,,13599.22
  01/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,18.99,,13612.55
  01/09/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,11.52,,13631.54
  01/09/2016,BGC,'00-00-00,111222333,SOME WORK,,910.33,13643.06
  31/08/2016,DEB,'00-00-00,111222333,CO-OP GROUP 020017,8.41,,12732.73
  31/08/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,40.00,,12741.14
  31/08/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,9.99,,12781.14
  30/08/2016,DEB,'00-00-00,111222333,CO-OP GROUP 020017,20.86,,12791.13
  30/08/2016,DEB,'00-00-00,111222333,TALISKER DISTILLER,16.00,,12811.99
  30/08/2016,DEB,'00-00-00,111222333,EWEN MACRAE(WESTEN,39.67,,12827.99
  30/08/2016,DEB,'00-00-00,111222333,CO-OP GROUP 020017,19.78,,12867.66
  30/08/2016,DEB,'00-00-00,111222333,CARPHONE WAREHOUSE,549.99,,12887.44
  30/08/2016,DEB,'00-00-00,111222333,ANNANDALE WATER CO,56.58,,13437.43
  30/08/2016,DEB,'00-00-00,111222333,CO-OP GROUP 020017,18.63,,13494.01
  30/08/2016,DEB,'00-00-00,111222333,M6 TOLL,3.80,,13512.64
  30/08/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,15.00,,13516.44
  30/08/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,14.45,,13531.44
  30/08/2016,CPT,'00-00-00,111222333,LNK COOPERATIVE IV,80.00,,13545.89
  30/08/2016,CPT,'00-00-00,111222333,LNK COOPERATIVE IV,50.00,,13625.89
  26/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,3.30,,13675.89
  26/08/2016,DEB,'00-00-00,111222333,BP EMERSON VALLEY,5.99,,13679.19
  26/08/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,13685.18
  26/08/2016,BGC,'00-00-00,111222333,STAFFING SOLUTIONS,,170.77,13705.17
  25/08/2016,DEB,'00-00-00,111222333,DECATHLON UK,11.98,,13534.40
  25/08/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,9.85,,13546.38
  25/08/2016,CPT,'00-00-00,111222333,LNK ASDA M KEYNES,350.00,,13556.23
  24/08/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,5.19,,13906.23
  24/08/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,46.73,,13911.42
  23/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,17.67,,13958.15
  23/08/2016,DEB,'00-00-00,111222333,MCDONALDS,5.59,,13975.82
  22/08/2016,DEB,'00-00-00,111222333,PIZZA HUT ONLINE W,21.00,,13981.41
  22/08/2016,DEB,'00-00-00,111222333,MCDONALDS,3.39,,14002.41
  22/08/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,15.00,,14005.80
  22/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,11.49,,14020.80
  22/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,4.30,,14032.29
  22/08/2016,TFR,'00-00-00,111222333,ENVIRONMENT,,600.00,14036.59
  19/08/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,4.25,,13436.59
  19/08/2016,DEB,'00-00-00,111222333,LIDL UK,2.94,,13440.84
  18/08/2016,TFR,'00-00-00,111222333,ATOMIC,,5.00,13443.78
  18/08/2016,CPT,'00-00-00,111222333,LNK TESCO OLDBROOK,50.00,,13438.78
  18/08/2016,DEB,'00-00-00,111222333,MCDONALDS,9.58,,13488.78
  18/08/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,6.05,,13498.36
  18/08/2016,DEB,'00-00-00,111222333,WIZZ AIR WZZ,232.38,,13504.41
  18/08/2016,BGC,'00-00-00,111222333,SOME WORK,,743.53,13736.79
  17/08/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,12993.26
  17/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,4.50,,13003.26
  16/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,24.95,,13007.76
  16/08/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,10.59,,13032.71
  15/08/2016,DEB,'00-00-00,111222333,M S ONE CALL,332.00,,13043.30
  15/08/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,13.22,,13375.30
  15/08/2016,FPO,'00-00-00,111222333,NO IDEA,100.00,,13388.52
  12/08/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,4.98,,13488.52
  12/08/2016,TFR,'00-00-00,111222333,ATOMIC,,5.00,13493.50
  12/08/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,13488.50
  11/08/2016,DEB,'00-00-00,111222333,WIZZ AIR WZZ,34.89,,13508.49
  10/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,43.59,,13543.38
  10/08/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,5.80,,13586.97
  08/08/2016,TFR,'00-00-00,111222333,RENT,356.60,,13592.77
  08/08/2016,DEB,'00-00-00,111222333,LIDL UK,6.67,,13949.37
  08/08/2016,DEB,'00-00-00,111222333,Amazon UK Marketpl,61.89,,13956.04
  08/08/2016,DEB,'00-00-00,111222333,TESCO STORE 2885,25.58,,14017.93
  08/08/2016,CPT,'00-00-00,111222333,LNK TESCO OLDBROOK,40.00,,14043.51
  05/08/2016,DEB,'00-00-00,111222333,CINEWORLD,21.20,,14083.51
  04/08/2016,TFR,'00-00-00,111222333,ATOMIC,,10.00,14104.71
  04/08/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,43.62,,14094.71
  04/08/2016,BGC,'00-00-00,111222333,SOME WORK,,836.01,14138.33
  03/08/2016,DEB,'00-00-00,111222333,ASDA  STORES,35.37,,13302.32
  03/08/2016,DEB,'00-00-00,111222333,IKEA,5.00,,13337.69
  02/08/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,15.00,,13342.69
  01/08/2016,DEB,'00-00-00,111222333,TESCO STORE 2885,42.58,,13357.69
  01/08/2016,DEB,'00-00-00,111222333,MCDONALDS,10.48,,13400.27
  01/08/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,13410.75
  01/08/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,2.80,,13420.75
  01/08/2016,TFR,'00-00-00,111222333,ATOMIC 31JUL16,,3.00,13423.55
  29/07/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,11.29,,13420.55
  28/07/2016,DEB,'00-00-00,111222333,NEW MANDARIN RESTA,22.80,,13431.84
  28/07/2016,DEB,'00-00-00,111222333,CO-OP GROUP FOOD,9.06,,13454.64
  26/07/2016,DEB,'00-00-00,111222333,ASDA  STORES,65.33,,13463.70
  26/07/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,13529.03
  25/07/2016,DEB,'00-00-00,111222333,TESCO STORE 2885,29.60,,13549.02
  25/07/2016,DEB,'00-00-00,111222333,ASDA  STORES,1.99,,13578.62
  22/07/2016,DEB,'00-00-00,111222333,TESCO STORE 2898,50.78,,13580.61
  21/07/2016,BGC,'00-00-00,111222333,SOME WORK,,815.84,13631.39
  20/07/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,43.17,,12815.55
  19/07/2016,DEB,'00-00-00,111222333,ASDA  STORES,13.22,,12858.72
  18/07/2016,DEB,'00-00-00,111222333,ASDA  STORES,10.39,,12871.94
  18/07/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,3.00,,12882.33
  18/07/2016,DEB,'00-00-00,111222333,ASDA SUPERSTORE,33.27,,12885.33
  18/07/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,12918.60
  18/07/2016,DEB,'00-00-00,111222333,ASDA  STORES,30.04,,12928.60
  18/07/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,47.96,,12958.64
  15/07/2016,DEB,'00-00-00,111222333,MK PEWEX LTD,16.87,,13006.60
  15/07/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,13023.47
  14/07/2016,DEB,'00-00-00,111222333,SHELL BLEAK HAL239,46.64,,13033.47
  14/07/2016,DEB,'00-00-00,111222333,LIDL UK,13.02,,13080.11
  13/07/2016,DEB,'00-00-00,111222333,ASDA  STORES,16.55,,13093.13
  12/07/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,13109.68
  11/07/2016,DEB,'00-00-00,111222333,ASDA  STORES,22.35,,13129.67
  11/07/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,13152.02
  11/07/2016,DEB,'00-00-00,111222333,W M MORRISON STORE,34.34,,13162.02
  11/07/2016,DEB,'00-00-00,111222333,Amazon UK Retail,10.00,,13196.36
  11/07/2016,DD,'00-00-00,111222333,HARLANDS,39.99,,13206.36
  07/07/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,15.33,,13246.35
  07/07/2016,BGC,'00-00-00,111222333,SOME WORK,,766.02,13261.68
  06/07/2016,TFR,'00-00-00,111222333,RAFAL SZCZESNY,45.00,,12495.66
  06/07/2016,TFR,'00-00-00,111222333,RENT,382.00,,12540.66
  04/07/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,8.75,,12922.66
  04/07/2016,DEB,'00-00-00,111222333,SCHUH 027,45.00,,12931.41
  04/07/2016,DEB,'00-00-00,111222333,TESCO STORE 2885,34.38,,12976.41
  04/07/2016,DEB,'00-00-00,111222333,POSTOFFICE SELFSER,3.21,,13010.79
  04/07/2016,CPT,'00-00-00,111222333,LNK METRO BANK ATM,100.00,,13014.00
  30/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,8.98,,13114.00
  29/06/2016,DEB,'00-00-00,111222333,ASDA  STORES,31.11,,13122.98
  29/06/2016,DEB,'00-00-00,111222333,Amazon UK Marketpl,13.54,,13154.09
  29/06/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,34.99,,13167.63
  28/06/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,44.49,,13202.62
  27/06/2016,DEB,'00-00-00,111222333,ASDA  STORES,60.55,,13247.11
  27/06/2016,TFR,'00-00-00,111222333,ATOMIC 26JUN16,,50.00,13307.66
  27/06/2016,CPT,'00-00-00,111222333,LNK TESCO OLDBROOK,100.00,,13257.66
  24/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,64.98,,13357.66
  23/06/2016,BGC,'00-00-00,111222333,SOME WORK,,928.08,13422.64
  17/06/2016,DEB,'00-00-00,111222333,W H SMITH,1.99,,12494.56
  16/06/2016,CPT,'00-00-00,111222333,LNK LUTON AIRPORT,50.00,,12496.55
  15/06/2016,DEB,'00-00-00,111222333,GOOGLE *Com2uS Cor,22.99,,12546.55
  15/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,26.98,,12569.54
  13/06/2016,DEB,'00-00-00,111222333,M S ONE CALL,70.00,,12596.52
  13/06/2016,DEB,'00-00-00,111222333,ASDA  STORES,18.50,,12666.52
  13/06/2016,DEB,'00-00-00,111222333,GOOGLE *Com2uS Cor,22.99,,12685.02
  13/06/2016,DEB,'00-00-00,111222333,GIFFGAFF.COM,10.00,,12708.01
  13/06/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,12718.01
  10/06/2016,CPT,'00-00-00,111222333,LNK ASDA M KEYNES,100.00,,12738.00
  10/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,182.27,,12838.00
  10/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,28.99,,13020.27
  09/06/2016,BGC,'00-00-00,111222333,SOME WORK,,1599.35,13049.26
  08/06/2016,DEB,'00-00-00,111222333,ASDA  STORES,18.79,,11449.91
  08/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,41.38,,11468.70
  08/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,9.94,,11510.08
  07/06/2016,DEB,'00-00-00,111222333,LIDL UK,9.44,,11520.02
  06/06/2016,DEB,'00-00-00,111222333,ASDA  STORES,29.46,,11529.46
  06/06/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,.72,,11558.92
  02/06/2016,TFR,'00-00-00,111222333,RENT,329.00,,11559.64
  01/06/2016,DEB,'00-00-00,111222333,WIZZ AIR HUN920WZZ,65.98,,11888.64
  01/06/2016,DEB,'00-00-00,111222333,ASDA  PETROL UPT46,47.08,,11954.62
  31/05/2016,DEB,'00-00-00,111222333,TESCO STORES 2898,5.00,,12001.70
  26/05/2016,BGC,'00-00-00,111222333,SOME WORK,,922.10,12006.70
  25/05/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,32.12,,11084.60
  24/05/2016,DEB,'00-00-00,111222333,Amazon UK Marketpl,46.00,,11116.72
  23/05/2016,DEB,'00-00-00,111222333,ASDA  STORES,25.81,,11162.72
  23/05/2016,DD,'00-00-00,111222333,PAYPAL PAYMENT,23.31,,11188.53
  20/05/2016,DEB,'00-00-00,111222333,ASDA  STORES,21.92,,11211.84
  20/05/2016,DEB,'00-00-00,111222333,BLIZZARD ENTERTAIN,46.14,,11233.76
  16/05/2016,DEB,'00-00-00,111222333,ASDA  STORES,18.11,,11279.90
  16/05/2016,TFR,'00-00-00,111222333,RENT,8.00,,11298.01
  13/05/2016,DEB,'00-00-00,111222333,SAINSBURYS S/MKTS,11.73,,11306.01
  12/05/2016,DD,'00-00-00,111222333,HARLANDS,19.99,,11317.74
  12/05/2016,BGC,'00-00-00,111222333,SOME WORK,,1454.89,11337.73
